Product_ID,AvgFreq
Chio,5.357732172029962e-6
Chipsfrisch,6.434534034984708e-5
ClarkysKesselChips,7.561726522190546e-5
Classic,3.919664834540481e-5
Crunchips,2.4580223604704155e-5
CrustiCroc,4.472979471390033e-5
DeRit,1.657750083499336e-5
Dorfchips,7.248874581654771e-5
FeurichChips,4.115230456501793e-6
FeurichGourmet,3.856147037699847e-6
GutUndGünstigChips,3.544056333945586e-5
GutUndGünstigKessel,2.7365639849656338e-5
HofChips,3.417128042452546e-5
JA,2.8533772701986754e-6
JedenTagChips,1.782018065657131e-5
KrosseKerle,8.852796267955253e-5
Küstengold,5.034165780851114e-5
Lays,9.658530541899639e-5
Lisas,4.6167355123936924e-5
Naturals,1.7415656742397544e-5
Trafo,3.91156798377189e-5
WorldOfChips,4.878624266572161e-7
